x,y
0.40,11695988
0.80,20087520
1.50,30722205
2.40,40406277
3.70,50379726
5.40,60498811
7.40,70429009
9.80,80365427
12.60,90036931
16.10,100090329
20.10,110051612
24.60,120175492
29.50,130123799
34.90,140017658
41.00,150085205
47.70,160031239
55.20,170036030
63.60,180086635
72.90,190056172
84.10,200759844
95.10,210404296
107.10,220294301
120.10,230344733
134.10,240481207
149.10,250639823
164.10,260153475
181.10,270244043
199.10,280218441
218.10,290047173
239.10,300173066
261.10,310049694
285.10,320074380
311.10,330160247
339.10,340234585
369.10,350237755
401.10,360121814
436.10,370124140
474.10,380153676
515.10,390135843
559.10,400010934
608.10,410128793
661.10,420176078
718.10,430090532
781.10,440129922
849.10,450042420
924.10,460029485
1007.10,470101323
1097.10,480038761
1197.10,490069250
1307.10,500070533
1428.10,510026829
1563.10,520057744
1712.10,530033066
1878.10,540026237
2063.10,550016668
2270.10,560019599
2502.10,570025454
2762.10,580008246
3056.10,590028850
3387.10,600014503
3763.10,610024569
4189.10,620001453
4676.10,630001679
5234.10,640010303
5874.10,650000593
6613.10,660000587
7470.10,670009935
8466.10,680005997
9631.10,690006207
11000.10,700006090
12617.10,710003361
14539.10,720003431
16837.10,730003182
19603.10,740003224
22955.10,750000344
27051.10,760000395
32097.10,770000798
38370.10,780001362
46245.10,790000832
56240.10,800000239
68745.10,810000606
84184.10,820000446
103471.10,830000034
127886.10,840000278
159250.10,850000232
200223.10,860000120
254786.10,870000010
329076.10,880000051
432876.10,890000028
582424.10,900000049
794011.10,910000037
1089815.10,920000022
1521270.10,930000014
2186030.10,940000005
